TAM_N,TIME_N,PI_N,ERROR_N
100,0.00041,3.089187638,0.262170942
10000,0.013685,3.16136062,0.01816646091
100000,0.165137,3.143112378,0.007928993217
1000000,1.22464,3.142363681,0.001897625988
10000000,11.773159,3.141254501,0.0008467239912
100,0.000164,3.191331578,0.1474894849
10000,0.016431,3.138446254,0.02227887478
100000,0.112252,3.142250851,0.006326824104
1000000,1.105154,3.140759583,0.00203539732
10000000,11.049933,3.141977182,0.0005549524534
100,0.00026,3.13822512,0.2070311697
10000,0.011922,3.14134364,0.03291177272
100000,0.113779,3.13949922,0.00335278924
1000000,1.111447,3.140854249,0.002008280607
10000000,11.664402,3.141950331,0.00055525836
100,0.000176,3.195164268,0.2697550786
10000,0.01329,3.150624975,0.01989884451
100000,0.127228,3.142807654,0.01066410134
1000000,1.128172,3.142712155,0.001785206137
10000000,12.042749,3.141454393,0.0006700518254
100,0.000179,3.199206867,0.2511825777
10000,0.012647,3.1400958,0.0160860572
100000,0.117801,3.140380711,0.004888959971
1000000,1.208456,3.140589609,0.00249940038
10000000,11.757329,3.141480574,0.0007336770855
100,0.000292,3.101176409,0.1754238019
10000,0.011654,3.131411559,0.01263314841
100000,0.119365,3.141166857,0.006739788853
1000000,1.172481,3.141205336,0.002265283981
10000000,11.113963,3.141076019,0.0005330920114
100,0.000367,3.164119793,0.2136501369
10000,0.013008,3.129480393,0.0200211925
100000,0.107252,3.13864706,0.00859025929
1000000,1.08287,3.140871656,0.002754633671
10000000,11.059216,3.141423884,0.0006342697273
100,0.000265,3.19268371,0.2433868114
10000,0.015441,3.152195155,0.01341781283
100000,0.111963,3.143480613,0.007453406048
1000000,1.081504,3.141202794,0.001828311018
10000000,11.256088,3.141584955,0.0006539004568
100,0.000166,3.280795993,0.2898871921
10000,0.01171,3.128852827,0.02988729534
100000,0.116815,3.140876305,0.008831564331
1000000,1.171157,3.141472627,0.003303814558
10000000,14.031732,3.1413083,0.0008838676489
100,0.000289,3.084919297,0.2366295375
10000,0.019302,3.143660952,0.0212576057
100000,0.157769,3.141495884,0.007496095652
1000000,1.634109,3.141853054,0.003027626251
10000000,12.487359,3.141142237,0.00041431863
100,0.000337,3.122142609,0.1460752481
10000,0.015222,3.144517825,0.02251145411
100000,0.112226,3.14292639,0.007245501116
1000000,1.170592,3.14135772,0.002214702019
10000000,11.63599,3.141937397,0.0006766990944
100,0.00018,3.22377904,0.2950519442
10000,0.011588,3.14146155,0.01916274946
100000,0.113871,3.140985279,0.006959103763
1000000,1.155572,3.141700795,0.001932223709
10000000,11.399213,3.141892285,0.0007867033077
100,0.000251,3.349116392,0.3492818301
10000,0.017192,3.152013953,0.03177479173
100000,0.116907,3.146487244,0.006283496961
1000000,1.165291,3.140881317,0.002323165261
10000000,11.58879,3.141456038,0.0004375518539
100,0.000165,3.111737193,0.1415681079
10000,0.013069,3.155852933,0.0163322754
100000,0.116648,3.140351937,0.007581386092
1000000,1.181889,3.140976035,0.0019681666
10000000,11.588713,3.141523242,0.00057972609
100,0.000161,2.959634965,0.171613989
10000,0.013255,3.15655948,0.03538810456
100000,0.11408,3.147869039,0.01011360715
1000000,1.134538,3.142385966,0.002629808926
10000000,11.364406,3.141313579,0.0006847681073
100,0.00017,3.156209998,0.2330654281
10000,0.010899,3.14393411,0.01944102103
100000,0.114952,3.143522277,0.005586394713
1000000,1.14476,3.141167304,0.001854428857
10000000,11.349666,3.141530602,0.0007173781313
100,0.000166,3.141357182,0.2229346958
10000,0.012455,3.141936168,0.02148135233
100000,0.115369,3.140142374,0.00978825166
1000000,1.144244,3.141561761,0.002386852931
10000000,11.357344,3.14147128,0.0006959934678
100,0.000167,3.204931818,0.1770536496
10000,0.01079,3.154356947,0.02037172384
100000,0.117994,3.146623525,0.00794761366
1000000,1.151749,3.141820591,0.003328566408
10000000,11.832172,3.141535493,0.0007287591915
100,0.000303,3.125104492,0.1756151295
10000,0.011061,3.127747205,0.02815866667
100000,0.115303,3.140423382,0.008058810453
1000000,1.147954,3.141457921,0.002563343461
10000000,11.480627,3.142034312,0.0007231623956
100,0.000166,3.141675169,0.2345134076
10000,0.011596,3.152151743,0.01412888158
100000,0.114774,3.142259345,0.007153791747
1000000,1.176441,3.143073668,0.003057832145
10000000,11.794015,3.141729126,0.000976910699
