TAM_DO,TIME_DO,PI_DO,ERROR_DO
10000,0.009979,3.13852,0.01799471033
100000,0.068247,3.139824,0.004967194782
1000000,0.62642,3.1415176,0.001506185858
10000000,6.022897,3.1413234,0.0004764156924
100,0.000101,3.088,0.1451068572
10000,0.008208,3.13728,0.008737596924
100000,0.066281,3.14274,0.007670582768
1000000,0.686963,3.1416268,0.00101397286
10000000,6.105597,3.14142868,0.0006382366721
100,8.5e-05,2.984,0.1162067124
10000,0.008771,3.13664,0.0168762081
100000,0.055659,3.141536,0.004751427575
1000000,0.602737,3.1419704,0.001545847806
10000000,5.894803,3.14154072,0.0006594451437
100,8.7e-05,2.972,0.2094182418
10000,0.005432,3.14532,0.01799737759
100000,0.059517,3.14188,0.004484140943
1000000,0.600934,3.1418936,0.001383950519
10000000,5.995043,3.1416656,0.0003168564091
100,0.000183,2.976,0.1352922762
10000,0.005541,3.13396,0.01373165686
100000,0.0604,3.142372,0.006516933021
1000000,0.593597,3.1404864,0.001895716603
10000000,6.028064,3.1416184,0.0005625029209
100,9e-05,3.012,0.1132077736
10000,0.005243,3.14156,0.01468980599
100000,0.062137,3.142088,0.00583761047
1000000,0.624469,3.1420372,0.001259054947
10000000,6.00495,3.14191864,0.0006690314002
100,8.1e-05,3.008,0.1695169608
10000,0.004936,3.14012,0.02193740185
100000,0.058924,3.141108,0.006797553678
1000000,0.624596,3.1416768,0.001174662913
10000000,5.837288,3.14205468,0.0004440533319
100,0.000142,3.028,0.180709712
10000,0.005232,3.14016,0.01117024619
100000,0.066502,3.139944,0.004026400874
1000000,0.600313,3.1415568,0.001825664854
10000000,5.219234,3.1413732,0.0006282205982
100,8.4e-05,2.892,0.2472569514
10000,0.007192,3.13548,0.01764544134
100000,0.057452,3.138464,0.005425162117
1000000,0.517986,3.1413848,0.001904784544
10000000,5.430345,3.14173836,0.0003349023714
100,8.2e-05,3.096,0.1698940847
10000,0.004876,3.13636,0.01567208984
100000,0.059712,3.14226,0.003645457447
1000000,0.719094,3.1424076,0.00146835685
10000000,6.255243,3.14166588,0.0002558048037
100,0.000124,3.032,0.144
10000,0.005704,3.13808,0.01232856845
100000,0.060704,3.14296,0.002592481437
1000000,0.740967,3.141294,0.002623636713
10000000,6.200753,3.14150068,0.0004049097104
100,8.9e-05,3.104,0.08428523002
10000,0.005504,3.14384,0.01537811432
100000,0.059053,3.140304,0.005814002408
1000000,0.592468,3.1419432,0.001733776272
10000000,6.137488,3.14140532,0.0004453859468
100,9.9e-05,2.96,0.1715808847
10000,0.006705,3.13912,0.01003322481
100000,0.05403,3.13968,0.004301962343
1000000,0.605006,3.141942,0.001535573118
10000000,6.048716,3.14163988,0.0003869023257
100,8.8e-05,2.964,0.2494473892
10000,0.0067,3.13812,0.01554765577
100000,0.065547,3.140916,0.003554442854
1000000,0.542607,3.1413032,0.001672227544
10000000,5.971359,3.14158696,0.0004422797739
100,0.000147,3.06,0.129305839
10000,0.005699,3.13972,0.02055630317
100000,0.065262,3.141412,0.004064246056
1000000,0.645963,3.1411052,0.000990773516
10000000,6.181482,3.1412314,0.000302612584
100,8.8e-05,2.988,0.124
10000,0.006528,3.14084,0.02350860268
100000,0.062821,3.140488,0.004934735657
1000000,0.598906,3.141536,0.001946606483
10000000,6.56532,3.14161492,0.0006555421829
100,0.00012,3.012,0.2094182418
10000,0.013302,3.1422,0.01402084163
100000,0.063167,3.13982,0.004994084501
1000000,0.619424,3.1410332,0.001658594152
10000000,6.166012,3.1417148,0.000606299332
100,8.7e-05,2.956,0.09024411338
10000,0.005992,3.13984,0.01434679058
100000,0.05583,3.141136,0.004762191092
1000000,0.586217,3.1425704,0.001642278612
10000000,5.761872,3.14191792,0.0007457598927
100,0.00013,3.004,0.1522629305
10000,0.007697,3.147,0.01276025078
100000,0.052787,3.138612,0.004480501758
1000000,0.532974,3.141486,0.001364735579
10000000,5.185657,3.14163436,0.0005431116703
